original_title,start_year,runtime_mins,genre,average_rating,num_votes
Os Penetras,2012,88.0,Comedy,5.4,907
42,2013,128.0,"Biography,Drama,Sport",7.5,77703
El hada buena - Una fábula peronista,2010,85.0,"Comedy,Drama,Sci-Fi",6.4,19
Life of Pi,2012,127.0,"Adventure,Drama,Fantasy",7.9,535836
Being Flynn,2012,102.0,Drama,6.4,15780
The Crazies,2010,101.0,"Horror,Thriller",6.5,104465
The Equalizer,2014,132.0,"Action,Crime,Thriller",7.2,302302
Memorias del desarrollo,2010,113.0,Drama,7.0,58
Captain America: The First Avenger,2011,124.0,"Action,Adventure,Sci-Fi",6.9,668137
A Long Way Down,2014,96.0,"Comedy,Drama",6.4,29260
Sin City: A Dame to Kill For,2014,102.0,"Crime,Thriller",6.5,140666
Generation P,2011,112.0,"Comedy,Drama,Sci-Fi",6.8,3358
One Step Beyond,2012,56.0,Documentary,8.5,26
Drunkboat,2010,98.0,Drama,4.9,555
The Grasslands,2011,114.0,Drama,8.6,17
The Only Living Boy in New York,2017,89.0,Drama,6.3,8727
Texxas Jam '78,2012,60.0,Documentary,8.5,8
Salvando al Soldado Pérez,2011,105.0,"Adventure,Comedy,Western",6.0,1727
Steve Phoenix: The Untold Story,2012,110.0,Drama,5.5,18
High-Rise,2015,119.0,"Drama,Horror,Sci-Fi",5.6,33746
Satan Hates You,2010,94.0,Horror,4.6,205
Federal,2010,91.0,"Drama,Thriller",3.2,374
The Devil You Know,2013,76.0,"Mystery,Thriller",3.6,1470
"Guns, Drugs and Dirty Money",2010,123.0,"Action,Comedy,Crime",8.0,39
House at the End of the Drive,2014,91.0,"Horror,Thriller",6.5,331
Piranha 3D,2010,88.0,"Comedy,Horror",5.4,81327
Komaram Puli,2010,163.0,"Action,Crime,Thriller",3.8,1423
Act Your Age,2011,101.0,"Comedy,Drama",6.5,85
Taken by Force,2010,90.0,"Action,Drama",7.8,33
Margaret,2011,150.0,Drama,6.5,14708
Alan Partridge: Alpha Papa,2013,90.0,"Action,Comedy,Crime",6.9,27986
Harlem Hostel,2010,81.0,"Comedy,Drama",4.1,128
The Pack,2011,84.0,Drama,7.2,88
Ex Machina,2014,108.0,"Drama,Mystery,Sci-Fi",7.7,424542
