original_title,start_year,runtime_mins,genre,average_rating,num_votes
Silverlake Video: The Movie,2010,89.0,Comedy,8.7,15
Arthur Christmas,2011,97.0,"Adventure,Animation,Comedy",7.1,45439
Brick Mansions,2014,90.0,"Action,Crime",5.7,37528
Big Miracle,2012,107.0,"Biography,Drama,Family",6.5,17585
Kiss the Abyss,2012,88.0,Horror,4.2,181
Payback,2012,82.0,Documentary,6.4,186
The Pirates! In an Adventure with Scientists!,2012,88.0,"Adventure,Animation,Comedy",6.7,41958
Die Relativitätstheorie der Liebe,2011,96.0,Comedy,6.0,266
Deadline,2012,95.0,"Drama,Mystery,Thriller",4.8,396
Deadpool,2016,108.0,"Action,Adventure,Comedy",8.0,820847
Forget Me Not,2010,93.0,Romance,6.6,1835
No Problem,2010,139.0,"Action,Comedy,Crime",4.2,1880
Perfect Combination,2010,92.0,"Comedy,Romance",3.9,260
The Canal Street Madam,2010,78.0,Documentary,6.8,52
Another Year,2010,129.0,"Comedy,Drama",7.3,26273
Woman's Picture,2011,105.0,Drama,7.0,12
Soundtracker,2010,82.0,Documentary,6.7,26
Dancing Across Borders,2010,88.0,Documentary,6.8,107
Faster,2010,98.0,"Action,Crime,Drama",6.5,93618
Sleeper,2012,86.0,"Action,Horror",3.8,118
The Details,2011,101.0,"Comedy,Drama",6.1,8511
Baby Let Your Hair Hang Down,2013,86.0,Documentary,7.6,54
The Eves,2012,85.0,Thriller,4.3,343
Bakamono,2010,120.0,"Comedy,Romance",6.2,19
Diciotto anni dopo,2010,100.0,"Comedy,Drama",6.9,319
Dhobi Ghat,2010,100.0,Drama,7.1,11621
Disconnect,2012,115.0,"Drama,Thriller",7.5,70051
Enterrez nos chiens,2010,55.0,Drama,8.3,31
Hubble 3D,2010,44.0,Documentary,7.7,3945
Säilöttyjä unelmia,2012,75.0,"Documentary,Drama",6.9,362
Rules of Single Life,2011,75.0,Documentary,4.7,147
The Apparition,2012,83.0,"Horror,Thriller",4.1,18112
Täällä Pohjantähden alla II,2010,138.0,"Drama,War",6.8,334
Vähän kunnioitusta,2010,93.0,Drama,5.6,108
Kirjad Inglile,2011,118.0,Drama,6.1,84
Epäilyksen varjossa - Elokuva Alpo Rusista,2010,75.0,"Documentary,Drama,News",6.6,26
Zandegi ba cheshmane baste,2010,101.0,Drama,5.7,440
Mabul,2010,100.0,Drama,6.9,187
Mother's Day,2010,112.0,"Drama,Horror,Thriller",6.3,15012
R,2010,99.0,"Crime,Drama",7.1,4226
Nocturne,2014,116.0,"Drama,Fantasy,Romance",7.2,121
Self Helpless,2010,128.0,Comedy,5.1,33
American Sunset,2010,94.0,Thriller,6.7,94
Sure Looks Good,2010,87.0,Drama,1.9,117
American Mobster,2010,85.0,"Crime,Drama",3.4,38
Hysteria,2011,100.0,"Comedy,Romance",6.7,29014
Cendrillon au Far West,2012,81.0,"Animation,Family,Fantasy",3.9,212
Firestorm,2010,54.0,Documentary,7.3,6
Legacy,2010,93.0,Thriller,5.3,1260
A Life Ascending,2010,58.0,Documentary,7.0,18
Hood to Coast,2011,102.0,Documentary,8.4,168
Jûsan-nin no shikaku,2010,141.0,"Action,Adventure,Drama",7.6,58142
Till Sunset,2011,72.0,"Horror,Mystery,Thriller",2.9,93
Gangor,2010,91.0,Drama,6.1,69
Elle: A Modern Cinderella Tale,2010,90.0,"Drama,Family",4.5,1405
"Love, Wedding, Marriage",2011,90.0,Comedy,5.0,8652
Lovers of Hate,2010,93.0,"Comedy,Drama",6.4,163
Rio,2011,96.0,"Adventure,Animation,Comedy",6.9,191621
"Splatter: Love, Honor and Paintball",2010,110.0,Comedy,6.9,24
Assassination Games,2011,101.0,"Action,Crime,Drama",6.2,15726
Café,2011,95.0,Drama,5.6,2227
För kärleken,2010,97.0,Drama,5.5,438
Faust,2011,140.0,"Drama,Fantasy,Mystery",6.6,4731
Mientras duermes,2011,102.0,"Drama,Horror,Thriller",7.2,33695
Le mac,2010,90.0,"Comedy,Crime",6.1,2428
Race to Nowhere,2010,85.0,Documentary,7.2,187
Svinalängorna,2010,99.0,Drama,7.0,3526
College Debts,2015,90.0,Comedy,6.2,12
Bait,2012,93.0,"Action,Adventure,Drama",5.2,14627
Fright Night,2011,106.0,"Comedy,Horror",6.4,94555
One Kine Day,2011,100.0,Drama,5.0,102
Oranges and Sunshine,2010,105.0,"Drama,History",7.1,4740
The Best and the Brightest,2010,93.0,Comedy,5.0,1340
Charlie St. Cloud,2010,99.0,"Drama,Fantasy,Romance",6.5,55016
Guzaarish,2010,126.0,Drama,7.5,15402
Mamma Gógó,2010,90.0,Drama,6.6,342
L'amore buio,2010,110.0,Drama,6.3,86
Primal,2010,80.0,"Horror,Thriller",4.9,5622
Film socialisme,2010,102.0,Drama,5.8,2311
Europolis,2010,98.0,Drama,6.0,105
High School Musical: O Desafio,2010,90.0,Musical,3.9,86
Anyone You Want,2010,87.0,Romance,8.2,63
Gladiator Games,2010,100.0,"Action,Adventure,Fantasy",4.1,55
Max Rose,2013,83.0,Drama,6.3,431
Perfect Sense,2011,92.0,"Drama,Romance,Sci-Fi",7.1,51188
A Beautiful Belly,2011,94.0,Drama,6.2,53
I Am Nasrine,2012,93.0,Drama,6.2,116
Battleship,2012,131.0,"Action,Adventure,Sci-Fi",5.8,225342
Blame,2010,89.0,"Drama,Thriller",5.7,583
Ces amours-là,2010,120.0,Drama,6.7,602
A Little Bit of Heaven,2011,106.0,"Comedy,Drama,Fantasy",6.3,26441
Goethe!,2010,102.0,"Drama,Romance",6.7,2593
Le ultime 56 ore,2010,107.0,"Action,Drama",5.2,100
Les petits mouchoirs,2010,154.0,"Comedy,Drama",7.1,21787
Pina,2011,103.0,"Documentary,Music",7.7,13501
Submarine,2010,97.0,"Comedy,Drama,Romance",7.3,79810
This Must Be the Place,2011,118.0,"Comedy,Drama",6.7,30457
Virginia,2010,111.0,Drama,5.5,1816
The American,2010,105.0,"Crime,Drama,Thriller",6.3,86863
Bel Ami,2012,102.0,"Drama,History,Romance",5.4,17055
"Cheer Up, Sam",2010,90.0,Drama,8.6,21
Inventing Adam,2013,90.0,Comedy,5.3,20
Round Ireland with a Fridge,2010,89.0,"Comedy,Drama",5.4,445
"Nono, het Zigzag Kind",2012,95.0,"Adventure,Drama,Family",6.7,372
Snow & Ashes,2010,110.0,"Drama,Thriller,War",5.9,115
Martha Marcy May Marlene,2011,102.0,"Drama,Mystery,Thriller",6.9,45873
Hahithalfut,2011,94.0,Drama,6.3,262
La solitudine dei numeri primi,2010,118.0,Drama,6.3,3085
Under the Skin,2013,108.0,"Drama,Horror,Sci-Fi",6.3,113196
The Way,2010,123.0,"Adventure,Comedy,Drama",7.4,27811
Why We Cry,2014,95.0,Drama,7.4,5
Broken,2012,91.0,"Drama,Romance",7.3,12563
Quartet,2012,94.0,"Comedy,Drama",6.8,17979
Salmon Fishing in the Yemen,2011,107.0,"Comedy,Drama,Romance",6.8,58864
Testament of Youth,2014,129.0,"Biography,Drama,History",7.3,23632
West Is West,2010,103.0,"Comedy,Drama",6.5,2694
Chow Down,2010,73.0,Documentary,7.0,35
Biester müssen sterben,2011,76.0,"Crime,Drama,Mystery",5.2,24
Das Sandmännchen - Abenteuer im Traumland,2010,83.0,Animation,5.9,103
Making It in Hollywood,2011,76.0,"Adventure,Documentary",6.4,12
Moving Gracefully Towards the Exit,2011,52.0,Documentary,7.4,5
Flesbek,2010,83.0,Drama,5.5,27
Joo-yoo-so-seup-gyeok-sa-geon-too,2010,111.0,"Action,Comedy",6.3,313
Gaturro,2010,86.0,"Animation,Family",4.0,155
Depositarios,2010,110.0,"Sci-Fi,Thriller",4.9,22
Jin yi wei,2010,114.0,"Action,History,Thriller",6.4,7100
La prima notte della luna,2010,120.0,Drama,7.1,19
Reflexões de um Liquidificador,2010,80.0,"Comedy,Thriller",7.1,343
Tum Milo Toh Sahi,2010,128.0,"Comedy,Drama",5.7,287
Le chemin noir,2010,105.0,Documentary,7.3,6
R U There,2010,90.0,Drama,5.5,297
Tutto l'amore del mondo,2010,100.0,"Comedy,Romance",5.6,269
Afinidades,2010,87.0,Drama,6.1,32
Terror Trap,2010,86.0,Thriller,3.7,987
Citizen Lane,2013,102.0,"Biography,Documentary,History",7.6,5
Cornea,2014,85.0,"Drama,Thriller",6.0,44
Gangsterboys,2010,82.0,"Comedy,Crime",4.2,552
Gorbaciof,2010,85.0,"Crime,Drama",6.4,649
Jeanne captive,2011,92.0,Biography,5.5,90
Politics of Love,2011,93.0,"Comedy,Romance",3.2,270
Vito,2011,93.0,"Biography,Documentary,History",8.1,451
Taj,2011,110.0,Drama,5.9,11
The Incubus,2010,100.0,"Drama,Fantasy,Horror",4.1,49
Unfinished Spaces,2011,86.0,Documentary,8.0,76
Bruc. La llegenda,2010,85.0,"Adventure,History",5.6,659
Bass Ackwards,2010,103.0,"Adventure,Comedy,Drama",6.0,315
Hot Coffee,2011,88.0,Documentary,7.5,3523
The Gift,2010,105.0,Documentary,7.6,46
The Letters,2014,114.0,Drama,6.1,871
Hearat Shulayim,2011,107.0,"Comedy,Drama",7.1,5317
Hubristic,2010,75.0,Comedy,6.3,6
Cost of a Soul,2010,107.0,"Crime,Drama",5.5,149
Game of Death,2011,98.0,"Action,Adventure,Thriller",4.7,6226
My Movie Girl,2016,83.0,"Comedy,Romance",6.7,35
Cat Run,2011,106.0,"Action,Comedy",5.6,5050
Rise of the Guardians,2012,97.0,"Action,Adventure,Animation",7.3,145281
Ways to Live Forever,2010,90.0,"Drama,Family",7.1,960
A Kiss for Jed Wood,2011,86.0,Comedy,7.1,59
Desert Son,2010,90.0,Drama,5.3,221
I Heart U,2014,92.0,"Comedy,Horror",4.0,21
Leave,2011,84.0,"Drama,Thriller",5.9,718
Prometheus,2012,124.0,"Adventure,Mystery,Sci-Fi",7.0,538720
Wonder Boy,2010,90.0,"Adventure,Animation",4.3,43
8 Dates with Paul,2010,77.0,"Comedy,Romance",7.6,5
Morristown: A Ballerina Love Story,2010,87.0,Drama,6.2,13
A Marine Story,2010,98.0,"Crime,Drama,Romance",6.1,2027
Bones,2010,88.0,Drama,6.6,347
Such Great Heights,2012,88.0,"Documentary,Sport",6.9,77
When the World Breaks,2010,84.0,Documentary,6.9,28
Between Two Fires,2010,130.0,"Drama,Romance,Thriller",6.8,214
Boðberi,2010,96.0,"Drama,Mystery,Thriller",4.9,104
Matching Jack,2010,99.0,Drama,6.5,931
Matariki,2010,92.0,Drama,6.8,103
Peepli (Live),2010,95.0,"Comedy,Drama",7.4,10903
My Girlfriend's Boyfriend,2010,84.0,"Comedy,Romance",5.8,5461
Yut mun Hinneisi,2010,105.0,"Comedy,Romance",6.3,528
StreetDance 3D,2010,98.0,"Drama,Music,Romance",6.0,10351
Golf in the Kingdom,2010,86.0,Drama,5.4,72
Road to Las Vegas,2010,90.0,"Biography,Documentary",6.9,32
Killer Elite,2011,116.0,"Action,Crime,Thriller",6.5,117711
Open House,2010,88.0,"Crime,Drama,Thriller",4.4,2277
If These Knishes Could Talk: The Story of the NY Accent,2013,55.0,"Biography,Comedy,Documentary",7.0,66
Winnie the Pooh,2011,63.0,"Adventure,Animation,Comedy",7.2,19605
Caught in the Crossfire,2010,85.0,"Action,Crime,Thriller",4.5,1110
Destination: Outer Space,2010,94.0,"Adventure,Sci-Fi",5.2,57
The Colonel's Bride,2010,74.0,Drama,5.8,12
The Confidant,2010,90.0,Thriller,4.1,309
Unrequited,2010,115.0,"Drama,Thriller",4.9,339
Claire,2013,100.0,"Drama,Mystery,Thriller",6.4,38
Días de gracia,2011,133.0,"Crime,Thriller",6.7,816
Filth,2013,97.0,"Comedy,Crime,Drama",7.1,93591
KickOff,2011,99.0,"Comedy,Drama,Sport",5.2,426
Mooz-Lum,2010,94.0,"Drama,Family",6.8,970
Roadie,2011,95.0,"Comedy,Drama,Music",6.0,1043
Signals 2,2013,107.0,"Action,Sci-Fi,Thriller",5.5,104
Shuarî samudei,2010,122.0,"Comedy,Drama",6.5,99
"Beli, beli svet",2010,121.0,Drama,6.9,470
Glückliche Fügung,2010,90.0,"Drama,Romance",5.5,74
Pethainontas gia tin alitheia,2010,73.0,Documentary,8.4,10
Lou,2010,86.0,Drama,6.6,315
Joseph et la fille,2010,86.0,"Crime,Drama,Thriller",5.1,30
Sensation,2010,107.0,Comedy,6.1,291
Sixgun,2010,93.0,Drama,4.2,68
Tournée,2010,111.0,"Comedy,Drama",6.5,2357
Rann,2010,137.0,"Drama,Mystery,Thriller",7.0,2148
Hexe Lilli: Die Reise nach Mandolan,2011,90.0,"Comedy,Family,Fantasy",4.8,183
Just for the Record,2010,79.0,Comedy,2.1,377
Poll,2010,129.0,Drama,7.0,943
Restitution,2011,101.0,"Crime,Thriller",3.7,756
Hahaha,2010,115.0,"Comedy,Drama,Romance",6.7,1092
Vanishing on 7th Street,2010,92.0,"Horror,Mystery,Thriller",4.9,23912
Devil's Playground,2010,92.0,"Action,Horror",5.2,4692
A halálba táncoltatott leány,2011,100.0,Drama,6.3,111
Eat Drink Laugh: The Story of the Comic Strip,2014,80.0,"Biography,Comedy,Documentary",6.3,41
William Vincent,2010,100.0,"Crime,Drama",4.3,845
Monsters University,2013,104.0,"Adventure,Animation,Comedy",7.3,291887
Below the Beltway,2010,96.0,Comedy,4.5,172
Cheung Gong 7 hou: Oi dei kau,2010,83.0,Animation,6.0,167
The Help,2011,146.0,Drama,8.1,392699
Followed Home,2010,74.0,Horror,2.6,170
Gravity,2013,91.0,"Drama,Sci-Fi,Thriller",7.7,710018
Napapiirin sankarit,2010,92.0,"Comedy,Drama,Romance",6.9,5403
Pa negre,2010,108.0,"Crime,Drama",7.0,4174
Sci-Fi High: The Movie Musical,2010,92.0,Musical,3.7,62
A Bela e o Paparazzo,2010,106.0,"Comedy,Romance",6.1,1047
Bis aufs Blut - Brüder auf Bewährung,2010,109.0,"Crime,Drama",6.4,273
O que Há de Novo no Amor?,2011,121.0,"Drama,Romance",5.4,112
Truth,2017,80.0,"Drama,History,Thriller",7.1,565
Blanc comme neige,2010,100.0,Thriller,5.4,540
Copacabana,2010,107.0,Comedy,6.8,1547
Jimmy Rivière,2011,90.0,Drama,5.4,91
La tête en friche,2010,82.0,"Comedy,Drama",7.2,6329
Randka w ciemno,2010,95.0,"Comedy,Romance",4.4,256
Stretch,2011,90.0,Drama,4.5,60
The Wall,2010,78.0,Documentary,9.2,8
Caribbean Basterds,2010,90.0,Action,3.5,81
Hand 2 Hand,2011,92.0,Action,3.9,146
File Box,2013,88.0,"Horror,Mystery,Thriller",4.4,40
Delivered,2011,90.0,"Crime,Thriller",5.6,155
Happy Family,2010,90.0,Comedy,6.7,1694
Khatta Meetha,2010,157.0,"Comedy,Crime,Drama",5.8,8448
Prince,2010,138.0,"Action,Thriller",4.3,1720
The Other Side of Sleep,2011,88.0,"Drama,Mystery",5.4,170
Boy Wonder,2010,93.0,"Action,Crime,Drama",6.8,8412
Vielleicht in einem anderen Leben,2011,90.0,"Drama,War",6.5,60
Habemus Papam,2011,102.0,"Comedy,Drama",6.7,12273
As If I Am Not There,2010,109.0,Drama,7.2,985
Fa tin hei si 2010,2010,93.0,Comedy,3.9,470
Release,2010,87.0,"Drama,Romance",4.9,520
"Rio, Eu Te Amo",2014,110.0,"Comedy,Drama,Fantasy",5.2,1634
Goon,2011,92.0,"Comedy,Drama,Sport",6.8,79786
Wu ren qu,2013,118.0,"Adventure,Crime,Drama",7.3,1756
Jing wu feng yun: Chen Zhen,2010,106.0,"Action,Drama,History",6.3,9202
Searching for Sonny,2011,94.0,"Comedy,Mystery",6.5,266
"Tomorrow, When the War Began",2010,103.0,"Action,Adventure,Drama",6.2,29204
Trophy Kids,2011,104.0,"Comedy,Drama,Romance",5.9,30
Huge,2010,78.0,"Comedy,Drama",4.4,272
Salvation,2016,96.0,"Crime,Drama",5.9,27
The Haunting in Connecticut 2: Ghosts of Georgia,2013,101.0,"Drama,Horror,Mystery",5.3,15190
The Kings of Mykonos,2010,102.0,Comedy,4.6,2249
The Conjuring,2013,112.0,"Horror,Mystery,Thriller",7.5,397233
Kidnap,2017,95.0,"Crime,Drama,Thriller",5.9,28898
The Next Three Days,2010,133.0,"Action,Crime,Drama",7.4,168066
Behind the Scenes of Total Hell: The Jamie Gunn Chronicles,2013,97.0,Comedy,8.2,17
Headcase,2013,88.0,"Action,Adventure,Comedy",6.9,10
Respire,2010,87.0,"Horror,Thriller",4.3,613
Brooklyn,2010,80.0,"Comedy,Crime",7.3,28
2050,2018,104.0,"Drama,Fantasy,Sci-Fi",5.4,37
Tactical Force,2011,91.0,"Action,Comedy,Crime",4.8,5396
Lose with English,2010,81.0,"Comedy,Documentary",5.7,6
Crime d'amour,2010,106.0,"Crime,Drama,Mystery",6.5,4838
Uninhabited,2010,93.0,"Horror,Thriller",4.4,2589
Getting Back to Zero,2013,97.0,"Comedy,Drama",6.4,47
Pawn Shop,2012,104.0,Comedy,3.9,83
Pimp,2010,91.0,"Crime,Thriller",2.9,869
Red Herring,2015,91.0,"Crime,Drama,Mystery",3.2,239
The New Recruits,2010,56.0,Documentary,8.3,23
The Putt Putt Syndrome,2010,83.0,"Comedy,Drama",7.2,13
Better This World,2011,82.0,Documentary,7.3,354
Cabotins,2010,110.0,Comedy,6.1,87
Jian yu,2010,117.0,"Action,Adventure",6.9,6990
Henry & Me,2014,67.0,"Animation,Family",6.2,132
Route 132,2010,113.0,Drama,6.6,181
Dislecksia: The Movie,2012,83.0,Documentary,8.2,20
Meskada,2010,98.0,"Crime,Drama,Thriller",5.4,1039
What's Up Lovely,2010,69.0,Drama,7.1,34
Änglagård - Tredje gången gillt,2010,117.0,"Comedy,Drama",4.6,884
Fight Life,2014,82.0,"Documentary,Sport",7.7,80
She Wolf Rising,2016,91.0,Horror,3.3,178
Knifepoint,2011,83.0,"Crime,Horror,Thriller",5.3,140
Sedona's Rule,2010,90.0,"Drama,Thriller",4.9,29
The Hopeful,2011,90.0,Sport,7.6,63
Surviving Progress,2011,86.0,Documentary,7.4,1721
Dream House,2011,84.0,"Drama,Mystery,Thriller",6.0,59714
Enemies Among Us,2010,76.0,"Action,Drama,Thriller",2.3,496
Leading Ladies,2010,102.0,Comedy,5.8,226
Letters to God,2010,110.0,"Drama,Family",6.3,4443
Two Gates of Sleep,2010,78.0,Drama,6.2,197
Big Sur,2013,81.0,"Drama,Romance",5.8,1704
La belle visite,2010,80.0,"Biography,Documentary,Drama",7.9,28
Laid Off,2010,89.0,Comedy,8.3,45
The Prep School Negro,2012,52.0,"Documentary,Drama,Family",7.5,17
Autoreiji,2010,109.0,"Action,Crime,Drama",6.8,11052
Vanguard,2010,84.0,Action,3.8,5
The Ghostmaker,2012,91.0,"Horror,Sci-Fi,Thriller",4.9,2019
Buried,2010,95.0,"Drama,Mystery,Thriller",7.0,139426
5 Time Champion,2011,92.0,Drama,7.2,99
Ponies,2011,73.0,Drama,7.8,32
The Odd Life of Timothy Green,2012,105.0,"Comedy,Drama,Family",6.6,42770
Streets of Plenty,2010,65.0,Documentary,6.6,114
Yi dai zong shi,2013,130.0,"Action,Biography,Drama",6.6,28781
All Is Bright,2013,107.0,"Comedy,Drama",5.6,5308
Tiger Team - Der Berg der 1000 Drachen,2010,89.0,"Adventure,Family",4.6,100
Falling Down,2010,124.0,"Action,Drama,Thriller",4.5,11
"Big Mommas: Like Father, Like Son",2011,107.0,"Action,Comedy,Crime",4.4,23520
Decoding Annie Parker,2013,91.0,Drama,6.3,2785
Odcházení,2011,94.0,"Comedy,Drama",6.0,202
A Voice in the Dark,2013,90.0,Drama,8.4,13
Fritt vilt III,2010,95.0,"Horror,Thriller",5.1,3463
House of Last Things,2013,110.0,"Fantasy,Horror,Thriller",5.8,3713
I Am Number Four,2011,111.0,"Action,Adventure,Sci-Fi",6.1,217762
Stake Land,2010,98.0,"Drama,Horror,Sci-Fi",6.5,38749
The Weathered Underground,2010,310.0,"Action,Adventure,Comedy",6.2,46
You're So Cupid!,2010,93.0,"Family,Fantasy,Romance",5.6,818
Mute,2018,126.0,"Mystery,Sci-Fi,Thriller",5.4,25322
The Great Hip Hop Hoax,2013,93.0,"Comedy,Documentary,Music",7.2,496
Arias with a Twist,2010,88.0,Documentary,8.3,18
Confession,2010,70.0,"Action,Drama",7.9,15
Die,2010,91.0,"Crime,Drama,Mystery",4.9,2493
Fathers & Sons,2010,87.0,"Comedy,Drama",7.0,32
Grab,2011,57.0,Documentary,8.5,16
Gurbet - Fremde Heimat,2010,45.0,Drama,7.9,7
L'arnacoeur,2010,105.0,"Comedy,Romance",6.8,23995
Happy Husbands,2011,134.0,"Comedy,Drama",3.6,18
Joy,2010,75.0,Drama,6.1,233
Juan,2010,105.0,"Drama,Music,Romance",5.8,210
Hum Tum Aur Ghost,2010,125.0,"Comedy,Drama,Fantasy",4.8,605
The Wedding Party,2010,97.0,"Comedy,Drama",4.9,459
Lecciones para un Beso,2011,100.0,"Comedy,Romance",6.5,67
Mit moon,2010,91.0,"Action,Thriller",5.4,507
Red White & Blue,2010,104.0,"Drama,Thriller",6.4,5273
The Italian Key,2011,92.0,"Comedy,Drama,Romance",5.7,323
The Last Gamble,2011,108.0,"Action,Crime,Drama",4.8,20
The Wrath of Cain,2010,84.0,"Action,Drama",4.7,1497
Tucker and Dale vs Evil,2010,89.0,"Comedy,Horror",7.6,153744
Columbus Circle,2012,82.0,"Crime,Drama,Mystery",6.0,9885
Mig älskar ingen,2012,90.0,Drama,6.9,7
Photographic,2012,81.0,Horror,4.4,25
Stationspiraten,2010,90.0,Drama,7.1,127
Cloudburst,2011,93.0,"Adventure,Comedy,Drama",7.0,1721
Life of Lemon,2011,74.0,Drama,5.7,36
Square Grouper,2011,100.0,Documentary,6.4,437
The Prospects,2010,79.0,Comedy,7.2,54
William S. Burroughs: A Man Within,2010,87.0,Documentary,7.2,990
A ojos cerrados,2010,65.0,"Drama,Family",7.4,87
Une vie qui commence,2010,103.0,Drama,6.4,85
Angle mort,2011,79.0,"Mystery,Thriller",5.0,261
"Ensemble, nous allons vivre une très, très grande histoire d'amour...",2010,99.0,Comedy,4.8,153
Frisson des collines,2011,103.0,"Drama,Romance",6.7,367
Lance et compte,2010,120.0,"Drama,Sport",5.8,193
Planeat,2010,87.0,"Biography,Documentary",7.4,133
Rabbit Fever,2010,85.0,Documentary,8.9,231
Schemer,2010,91.0,"Drama,Romance",6.3,989
Shugendô Now,2010,91.0,"Adventure,Documentary",6.2,8
La prima cosa bella,2010,122.0,"Comedy,Drama",7.1,4313
Retornos,2010,88.0,Thriller,6.3,173
Bein HaShmashot,2010,90.0,Drama,6.6,17
Lang & gelukkig,2010,90.0,"Comedy,Fantasy,Music",6.9,277
Nosso Lar,2010,103.0,"Drama,Fantasy",6.3,2407
Min bedste fjende,2010,93.0,Drama,6.6,360
Brilliantlove,2010,97.0,"Drama,Romance",4.9,803
Higashi no Eden Gekijôban II: Paradise Lost,2010,90.0,"Action,Animation,Comedy",7.0,1001
Kokô no mesu,2010,126.0,Drama,6.7,54
Tida-kankan: Umi to sango to chiisana kiseki,2010,120.0,Drama,6.7,23
The Humdrummer,2013,94.0,Drama,8.6,5
Undocumented,2010,96.0,Horror,5.9,1177
What If...,2010,111.0,"Drama,Family,Fantasy",6.5,2306
Bear,2010,78.0,"Action,Adventure,Drama",2.8,1055
Cartas a Elena,2011,97.0,Drama,6.5,96
Im Alter von Ellen,2010,95.0,Drama,5.9,197
Monster Mutt,2011,89.0,"Comedy,Family,Sci-Fi",3.7,275
Stitch in Time,2012,97.0,"Crime,Drama",6.2,57
Stranger Things,2010,77.0,Drama,6.8,51
The Aspern Papers,2010,85.0,Drama,8.8,36
Cherry Tree Lane,2010,77.0,"Horror,Thriller",4.9,2521
El diario de Carlota,2010,110.0,"Comedy,Family",5.1,123
One Week to Bill's Thing,2011,71.0,Comedy,7.6,8
Get a Job,2016,83.0,Comedy,5.3,19211
Dad's in Heaven with Nixon,2010,86.0,Documentary,7.5,163
Baywatch,2017,116.0,"Action,Comedy,Crime",5.6,137528
The Road to Freedom,2010,93.0,"Adventure,Drama,History",6.0,80
Krankheit der Jugend,2010,90.0,Drama,6.3,30
Redemption Road,2010,95.0,Drama,5.8,479
Beautiful Wave,2011,96.0,"Adventure,Drama",5.1,477
Elfie Hopkins,2012,89.0,"Horror,Thriller",4.7,836
MacGruber,2010,90.0,"Action,Comedy,Romance",5.5,39782
"Marti, dupã Crãciun",2010,99.0,"Drama,Romance",7.0,3964
Hanna's Gold,2010,92.0,"Adventure,Family",4.9,166
Three Veils,2011,117.0,Drama,6.7,211
Trackdown,2010,114.0,"Action,Thriller",4.9,24
Monsters,2010,94.0,"Drama,Sci-Fi,Thriller",6.4,84332
Area Q.,2011,114.0,"Sci-Fi,Thriller",4.4,357
Die Muse,2011,95.0,Thriller,8.1,30
Girlfriend,2010,94.0,Drama,6.5,616
Adem,2010,98.0,Drama,7.2,1143
Rising Stars,2010,90.0,"Drama,Family",4.4,195
Los jóvenes muertos,2010,70.0,Documentary,7.3,23
Man Zou: Beijing to Shanghai,2010,86.0,"Adventure,Documentary,News",8.1,12
Road to Sangam,2010,135.0,"Drama,Thriller",7.6,626
Getting That Girl,2011,91.0,"Comedy,Romance",4.9,556
The Moleman of Belmont Avenue,2011,90.0,"Comedy,Horror",5.2,251
The Violent Kind,2010,85.0,Horror,4.7,1658
Novelties,2010,83.0,Drama,8.6,7
Paint It Black,2016,97.0,Drama,5.6,546
Une Estonienne à Paris,2012,94.0,Drama,6.3,708
The Aswang Phenomenon,2011,86.0,"Biography,Documentary,History",7.1,64
Last Call,2012,85.0,Comedy,4.5,339
Max Steel,2016,92.0,"Action,Adventure,Family",4.6,16788
La fille du puisatier,2011,107.0,"Drama,Romance",7.0,3459
Mammuth,2010,92.0,"Comedy,Drama",6.1,3322
Je n'ai rien oublié,2010,93.0,Drama,6.6,505
Donnant donnant,2010,100.0,Comedy,5.1,237
Colin Hearts Kay,2010,84.0,Romance,7.5,24
Vorstadtkrokodile 2,2010,90.0,"Adventure,Family",5.7,461
Fatal,2010,95.0,"Comedy,Music",5.8,1636
Lucky,2011,103.0,Comedy,5.4,3408
Bridget Jones's Baby,2016,123.0,"Comedy,Drama,Romance",6.5,60260
Grace Paley: Collected Shorts,2010,84.0,"Biography,Documentary,History",7.6,5
L'avocat,2010,102.0,Thriller,5.5,262
Los últimos cristeros,2011,89.0,"Drama,Western",6.4,90
Lizard Boy,2011,98.0,"Action,Comedy,Horror",3.2,103
May I Be Frank,2010,90.0,"Biography,Comedy,Documentary",7.1,167
Open Five,2010,72.0,"Comedy,Romance",6.8,75
Slimed,2010,55.0,"Action,Adventure,Comedy",6.1,34
The Freebie,2010,78.0,"Comedy,Drama",5.1,1553
Baby Mama's Club,2010,96.0,"Comedy,Drama,Romance",3.3,16
Cryptopticon,2010,83.0,"Crime,Mystery,Sci-Fi",6.5,15
Bite Me: The Movie,2011,91.0,"Action,Comedy,Horror",6.2,10
Que se mueran los feos,2010,104.0,Comedy,5.8,1465
Cannibal,2010,90.0,"Horror,Romance,Thriller",4.0,193
The Dogfather,2010,89.0,"Comedy,Crime,Family",3.2,479
Killer School Girls from Outer Space,2011,91.0,"Horror,Sci-Fi",5.8,88
Turnabout,2016,90.0,"Drama,Mystery,Thriller",7.0,1599
Saw 3D,2010,90.0,"Crime,Horror,Mystery",5.6,83532
Space Battleship Yamato,2010,138.0,"Action,Adventure,Drama",6.1,5565
About Fifty,2011,88.0,Comedy,5.1,293
Amador,2010,112.0,Drama,6.8,846
Where the Road Meets the Sun,2011,93.0,"Crime,Drama",6.0,235
Mafiosa,2016,89.0,"Crime,Drama,Thriller",6.1,22
7E,2013,80.0,"Drama,Thriller",4.7,391
