release_date,title,prod_budget,domestic_gross,worldwide_gross,start_year,runtime_mins,genre,average_rating,num_votes
2014-07-25,Happy Christmas,70000,30312,30312,2014,82.0,"Comedy,Drama",5.5,7217
2013-01-25,Supporting Characters,60000,4917,4917,2012,87.0,Comedy,6.4,821
2010-11-12,Tiny Furniture,50000,391674,424149,2010,98.0,"Comedy,Drama,Romance",6.2,13397
2015-07-31,Counting,50000,8374,8374,2015,111.0,Documentary,6.0,126
2011-02-11,Raymond Did It,40000,3632,3632,2011,83.0,Horror,3.3,211
2016-03-18,Krisha,30000,144822,144822,2015,83.0,Drama,7.2,5917
2017-01-27,Emily,27000,3547,3547,2017,83.0,Drama,6.8,13
2000-01-14,The Terrorist,25000,195043,195043,2018,86.0,"Romance,Thriller",6.5,42
2001-07-06,Cure,10000,94596,94596,2011,93.0,Drama,4.9,11
2012-01-13,Newlyweds,9000,4584,4584,2011,95.0,"Comedy,Drama",6.4,1436
