release_date,title,prod_budget,worldwide_gross,genre,average_rating,ROI,release_year,season_released
2011-09-23,Moneyball,50000000,111300835,Biography,7.6,1.2260167,2011,Fall
2004-09-24,The Forgotten,50000000,117211892,Horror,5.3,1.34423784,2004,Fall
2013-01-25,Hansel & Gretel: Witch Hunters,50000000,214949716,Horror,6.1,3.29899432,2013,Winter
2017-09-29,American Made,50000000,135569212,Biography,7.2,1.71138424,2017,Fall
1997-09-26,The Peacemaker,50000000,62967368,Documentary,7.9,0.25934736,1997,Fall
1995-10-06,Assassins,50000000,83306268,Thriller,4.4,0.66612536,1995,Fall
2015-03-13,Run All Night,50000000,66961644,Thriller,6.6,0.33923288,2015,Spring
2000-12-27,Traffic,48000000,208300000,Mystery,8.0,3.339583333333333,2000,Winter
2015-01-09,Taken 3,48000000,327656424,Thriller,6.0,5.8261755,2015,Winter
1999-10-01,Three Kings,48000000,107752036,Biography,6.8,1.2448340833333333,1999,Fall
1999-10-01,Three Kings,48000000,107752036,Documentary,6.8,1.2448340833333333,1999,Fall
2008-01-25,Rambo,47500000,112214531,Thriller,6.3,1.3624111789473685,2008,Winter
2016-11-11,Arrival,47000000,203127894,Mystery,7.9,3.321870085106383,2016,Fall
2013-09-20,Prisoners,46000000,113402302,Mystery,8.1,1.4652674347826087,2013,Fall
2012-10-05,Taken 2,45000000,377807404,Thriller,6.3,7.395720088888889,2012,Fall
2016-10-07,The Girl on the Train,45000000,174278214,Thriller,4.4,2.8728492,2016,Fall
2012-07-06,Savages,45000000,82513490,Thriller,6.5,0.8336331111111112,2012,Summer
2017-06-16,All Eyez on Me,45000000,54876855,Biography,5.8,0.21948566666666666,2017,Summer
1994-11-04,Frankenstein,45000000,112006296,Horror,1.9,1.4890288,1994,Fall
2010-02-19,The Ghost Writer,45000000,65532491,Mystery,7.2,0.4562775777777778,2010,Winter
2010-02-19,The Ghost Writer,45000000,65532491,Thriller,7.2,0.4562775777777778,2010,Winter
2012-10-12,Argo,44500000,227140757,Biography,7.7,4.104286674157303,2012,Fall
2012-10-12,Argo,44500000,227140757,Thriller,7.7,4.104286674157303,2012,Fall
2011-01-28,The Mechanic,42500000,76347393,Thriller,6.6,0.7964092470588235,2011,Winter
2011-03-11,Red Riding Hood,42000000,91678442,Horror,5.5,1.1828200476190476,2011,Spring
2011-03-11,Red Riding Hood,42000000,91678442,Mystery,5.5,1.1828200476190476,2011,Spring
1992-10-02,Hero,42000000,66787173,Thriller,3.8,0.5901707857142857,1992,Fall
2019-05-31,Rocketman,41000000,108642725,Biography,7.7,1.6498225609756099,2019,Spring
2015-02-13,Fifty Shades of Grey,40000000,570998101,Thriller,4.1,13.274952525,2015,Winter
2009-06-19,The Proposal,40000000,314709717,Documentary,5.6,6.867742925,2009,Summer
2014-07-25,Lucy,40000000,457507776,Thriller,6.4,10.4376944,2014,Summer
2013-12-25,Lone Survivor,40000000,149804632,Biography,7.5,2.7451158,2013,Winter
2010-10-01,The Social Network,40000000,224922135,Biography,7.7,4.623053375,2010,Fall
2015-10-16,Bridge of Spies,40000000,162498338,Thriller,7.6,3.06245845,2015,Fall
2016-11-04,Hacksaw Ridge,40000000,168904682,Biography,8.1,3.22261705,2016,Fall
2011-02-18,Unknown,40000000,136123083,Mystery,6.9,2.403077075,2011,Winter
2011-02-18,Unknown,40000000,136123083,Thriller,6.9,2.403077075,2011,Winter
2011-03-18,The Lincoln Lawyer,40000000,87145086,Thriller,7.3,1.17862715,2011,Spring
2014-06-20,Jersey Boys,40000000,65282732,Biography,6.8,0.6320683,2014,Summer
2011-08-12,Final Destination 5,40000000,155011165,Horror,5.9,2.875279125,2011,Summer
2018-11-16,Widows,40000000,73866088,Thriller,7.0,0.8466522,2018,Fall
2011-04-15,Scream 4,40000000,95989590,Horror,6.2,1.39973975,2011,Spring
2011-04-15,Scream 4,40000000,95989590,Mystery,6.2,1.39973975,2011,Spring
2011-08-26,Colombiana,40000000,72295262,Thriller,6.4,0.80738155,2011,Summer
2018-01-12,The Commuter,40000000,101985431,Mystery,6.3,1.549635775,2018,Winter
2018-01-12,The Commuter,40000000,101985431,Thriller,6.3,1.549635775,2018,Winter
2017-01-27,Resident Evil: The Final Chapter,40000000,314101190,Horror,5.6,6.85252975,2017,Winter
2016-08-26,Mechanic: Resurrection,40000000,109738840,Thriller,5.7,1.743471,2016,Summer
2005-09-30,Serenity,39000000,40319440,Mystery,5.3,0.03383179487179487,2005,Fall
2013-08-23,Yi dai zong shi,38600000,57987299,Biography,6.6,0.5022616321243524,2013,Summer
2009-02-06,Push,38000000,49678401,Documentary,7.3,0.30732634210526316,2009,Winter
2015-11-25,Creed,37000000,173567581,Horror,6.6,3.691015702702703,2015,Fall
2010-09-17,The Town,37000000,152566881,Thriller,7.6,3.1234292162162163,2010,Fall
2011-01-28,The Rite,37000000,97143987,Horror,6.0,1.6255131621621621,2011,Winter
2011-01-28,The Rite,37000000,97143987,Mystery,6.0,1.6255131621621621,2011,Winter
1997-05-02,Breakdown,36000000,50159144,Thriller,5.3,0.3933095555555556,1997,Spring
2016-01-22,Yip Man 3,36000000,157300954,Biography,7.1,3.3694709444444446,2016,Winter
2017-09-08,It,35000000,697457969,Horror,7.4,18.927370542857144,2017,Fall
2017-09-08,It,35000000,697457969,Thriller,7.4,18.927370542857144,2017,Fall
